JURS_NAME,YEAR,PROGRAM_NAME,PROGRAM_OBJECTIVE,ACCOMPLISHED_DT,PROGRAM_STATUS
LOS ANGELES,2018,Property Management Training Program (PMTP),"Complete 12 Property Management Training programs 
annually for approximately 420 landlords & managers; 
Refer non-compliant property to property management 
training programs provided by partnering 
apartment owner associations in Los Angeles.",2013-2021,"In CY 2018, HCIDLA staff participated in 9 Property Management Training Programs administered by partnering agencies: HCIDLA mailed 331 referral letters to non-compliant property owners."
LOS ANGELES,2018,Housing Needs Assessment by Community Plan Area,Housing Needs Assessment by Community Plan Area,2013-2021,"in 2018 the Department launched nine new community plan updates, working on a total of 17 Community Plan updates throughout the year.   A housing needs assessment is a key component of every update and usually occurs early in the Community Plan update process."
LOS ANGELES,2018,Consolidated Plan,Complete 1 and 5-year plans,2013-2021,Developed and submitted a new 5-year and 1-year plan.
LOS ANGELES,2018,Second Unit (Granny Flat) Process,30 second units on lots annually; Identify development standards and code requirements that pose compliance difficulties to second unit process; Adopt amendments to the Zoning Code to alleviate challenges.,2013-2021,"With the adoption of AB 2299 and SB 1069 (2016), the City drafted a new Accessory Dwelling Unit (ADU) ordinance to comply with the new State ADU law. The City Planning Commission approved a revised draft ordinance in November 2018 and the ordinance is currently under consideration by City Council. Until it is adopted, the City will rely on state law. 

With the passage of the state law, ADU permits have significantly increased in recent years. The City issued approximately 117 ADU permit applications in 2016, compared to 2,326 permits in 2017 and 4,171 permits in 2018."
LOS ANGELES,2018,Congestion Management Program Land Use Strategy,Report on all projects developed and all demolitions around major transit stations and transit corridors annually; Certify compliance with the Los Angeles County Congestion Management Program annually.,2013-2021,The Local Development Report is now prepared by Metro.
LOS ANGELES,2018,Entitlement Case Management and Expediting for Green Building Projects,Reduce plan check process time for 50 Tier 1 and 2 projects,2013-2021,"Expediting green projects is done through the regular expedite process. Case
management offers service to green projects."
LOS ANGELES,2018,Green Power for a Green LA,"25,000 households choosing alternative energy sources.",2013-2021,"In March of 2017, LADWP announced that they had $14.3 million in rebates available to subsidize the cost of installing a solar PV system for their customers. Their program is called the Solar Incentive Program (SIP) ."
LOS ANGELES,2018,OVERNIGHT SHELTER (WINTER SHELTER AND YEAR-ROUND SHELTER),"871 temporary shelter beds year round; 1,335 temporary winter shelter beds.",2013-2021,"Crisis Housing total: 3,160 year-round Crisis and Bridge Housing beds in operation in FY 2017-2018 (City and County General Funds, County Measure H, City CDBG, City and County ESG, DPSS, etc.). Temporary Winter Shelter (including Weather-Activated/Augmented) beds: 2,084 total Winter Shelter beds in operation (City and County General Funds, City and County ESG, County Measure H), serving over 7,200 participants."
LOS ANGELES,2018,JOB TRAINING AND PLACEMENT FOR HOMELESS INDIVIDUALS,Provide educational/vocational training and employment placement/retention services to 1000 homeless persons annually.,2013-2021,"LAHSA subcontractors who provide rapid re-housing services are required to support participants with obtaining employment services. In 2018 12% of rapid re-housing participants saw an income increase through either benefits increases or employment.

LAHSA subcontractors have entered into MOU's with the the LA R.I.S.E. program to link 50 program participants to supported employment opportunities, with the goal of increasing program participation in future years. 

Los Angeles County has convened a countywide taskforce to examine job training and placement programs for persons experiencing homelessness and to come up with strategies to increase future resources and outcomes. Newly identified strategies and resources will be launched in 2019."
LOS ANGELES,2018,RESOURCES FOR HOUSING SERVING THE MENTALLY ILL,Pursue funding towards permanent housing units for homeless mentally ill annually.,2013-2021,Ballot Measures H and HHH were passed in November 2016 providing significant new resources for rental assistance for chronically homeless (with disabilities).
LOS ANGELES,2018,Permanent Supportive Housing For Homeless Persons,"Maintain 1,477 permanent supportive housing units for homeless households annually.",2013-2021,"Permanent Supportive Housing (PSH) total: 11,856 beds in 8,353 units. Under the FY 2017-2018 contract year, the CoC was awarded over $104 million in funding, which supported the creation of 94 new units of PSH."
LOS ANGELES,2018,City Homeless Coordinator,Periodic reports on homeless housing and service delivery and recommendations for improvement.,2013-2021,"In the 2017 Homeless Count, there were approximately 31,285 homeless individuals, families, and youth on any given night in the City of Los Angeles (a 6% decrease from 2017). 73% of the City's homeless population is
unsheltered. Monthly Homelessness Cabinet meetings continue to be held each month to coordinate City action."
LOS ANGELES,2018,Homeless Management Information Systems (HMIS) Data Collection,All providers receiving City funding shall participate in HMIS.,2013-2021,"Since the launch of the new HMIS in the Spring of 2017, LAHSA has promoted the benefits of the user-friendly interface, its automated features, and reporting capabilities via HMIS User Forums to encourage HMIS participation among homeless service providers. As a result, the HMIS bed coverage rate has increased to 64% as of June 2018. In response to the unprecedented growth of partners participating in HMIS, LAHSA has taken on a number of initiatives to provide tools and resources to help providers with data collection, analysis and reporting. Providers have been trained and given access to a self-service reporting tool to create custom reports, and they have access to a catalog of tutorial videos to complement their training. In addition, LAHSA funds Regional Data Coordinators to support each Service Planning Area Lead with their region’s analytical and reporting needs. LAHSA also recently expanded HMIS participation to non-traditional homeless partners to foster care coordination which helps obtain a comprehensive report on available resources in the Los Angeles Continuum. LAHSA is collaborating with internal and external partners on HMIS customizations to improve data collection in the context of coordinated entry and homeless street outreach."
LOS ANGELES,2018,Zoning and Development Standards for Homeless Housing,Adopt amendment to zoning code to facilitate by-right siting of shelter and transitional housing facilities.,2013-2021,"The City Council adopted two new zoning code amendments on April 11, 2018 that will faciliate by-right siting of supportive housing and transitional housing. The Permanent Supportive Housing Ordinance built on State Density Bonus law to establish a new administrative clearance process for qualifying projects. The Interim Motel Conversion Ordinance created a by-right approval process that allows existing motels and hotels to be retrofitted and used for supportive housing and transitional housing, so long as a contract is in place with a local public agency to provide the supportive and/or transitional housing."
LOS ANGELES,2018,Homeownership for Voucher Holders,Increase homeownership opportunities among voucher holders.,2013-2021,"HACLA continues to participate in the Section 8 Homeownership Program, which was implemented by HACLA to assist qualified Section 8 participants to use their vouchers to purchase a home."
LOS ANGELES,2018,New Programs to Increase the Production of Affordable Housing,Prepare reports to Council and the Mayor that identify potential policies and programs to address the increase in funding for the production and preservation of affordable housing.,2013-2021,"Permanent Supportive Housing Ordinance & Interim Motel Conversion Ordinance: In April 2018, City Council passed a Permanent Supportive Housing (PSH) Ordinance which provided a streamlined approval process for permanent supportive housing projects. At the same time, City Council approved another streamlining ordinance that would allow existing motels to be more easily converted into supportive and transitional housing for individuals and families experiencing homelessness.

Affordable Housing Linkage Fee Ordinance: In 2018, the City began implementing a phased in approach to collect the Affordable Housing Linkage Fee (which was passed in 2017). The AHLF Ordinance creates a permanent source of local funding for the development of affordable housing and preservation by requiring residential and commercial development to pay a linkage fee. Fees will range from $1 to $18 based on the type of project and area, with the higher fees levied on “high market” areas like Hollywood and Downtown LA. Exemptions from the fee include schools, hospitals, residential projects under 1,500 square feet, and buildings with a set number of low to moderate income housing units. On June 18, 2018, the City began collecting one-third of the full fee then in December 20, 2018 the fee increased to two-thirds of the full fee amount. By June 2019 the phase-in will be complete and the City will begin collecting the full fee amount. 

Inclusionary Housing: With the passage of AB 1505, the City is now considering adopting inclusionary housing programs either city wide and/or at the community plan level.  For example, City Council passed a motion in 2018 requesting HCIDLA to develop a framework for a potential inclusionary housing ordinance, the Central City West Specific Plan is in the process of reinstating its previous inclusionary requirements, and the Warner Center Specific Plan is also considering including inclusionary housing in its plan. 

Continued in General Comments."
LOS ANGELES,2018,Foreclosure Registry Program,"Maintain a database of contact information of all residential properties within the City of Los Angeles that are subject to Ordinance No. 181,185.",2013-2021,"HCIDLA registered 5,796 properties in CY 2018 for a total of 71,616 properties since 2010, and inspected 2,604 foreclosed residential properties in 2018.  HCIDLA continues its proactive inspection and monthly inspection responsibilities in compliance with the Foreclosure Registry Program Ordinance requirements with enhancements made to the Foreclosure Information Management System (FIMS).  The FIMS enhancements allows Los Angeles Department of Building and Safety (LADBS) to pursue their proactive inspections and registrants to report inspections monthly to HCIDLA.  HCIDLA enhanced its foreclosure processes, which include the automation of the de-registration process on a weekly basis and enhanced the Online Foreclosure Registry portal to accommodate registrations by Notice of Default (NOD) document vs. APN.  HCIDLA implemented its GeoRegistry system as a tool for City Departments to report blighted properties in the foreclosure process and to operate as a collaborative tool for City Departments to work to reduce blight in neighborhoods. HCIDLA collaborated with other City Departments (Building and Safety,  Police, City Attorney Neighborhood Prosecutors Office, Bureau of Sanitation and  Fire Department) toward the reduction of nuisance and blighted properties.  Also, HCIDLA enhanced the customer service of the GeoRegistry portal with the geo-mapping of all foreclosed properties within City limits, and the filing of GeoRegistry complaints."
LOS ANGELES,2018,Single Family Rehabilitation,"384 extremely low-, very low- and low-income units annually.",2013-2021,"The Handyworker Program provided service for a total of 241 clients in CY 2018. Of this amount, 134 are extremely Low-Income; 157 are Very Low-Income; 40 Low-Income; and 10 are of Moderate-Income."
LOS ANGELES,2018,Preservation of the Rental Housing Stock - Condominium Conversions and Demolitions,Propose Zoning Code amendment or Director's Interpretation.,2013-2021,"In April 2018, the City Council introduced a motion requesting DCP to better refine the findings regarding cumulative impact of conversions on the rental housing market. The motion is currently pending before the City Council."
LOS ANGELES,2018,Lead-Based Paint Evaluation and Abatement Program in Public Housing,Abate lead-based paint hazards in 280 units.,2013-2021,No Status Update for 2018.
LOS ANGELES,2019,Residential Rehabilitation of Public Housing,"Complete revitalization of Jordan Downs, including: 280 extremely low income, 280 very low income, and 140 low income 1-for-1 replacement Public Housing units; 100 new extremely low-income units, 400 new very low- income units (< 60% AMI), 20 low-income workforce housing units (< 80% AMI) and 380 market-rate units.",2013-2021,"Jordan Downs: In 2019 HACLA completed the lease up of Phase 1A, 115 affordable units. Another 135 units, Phase 1B, will be completed in August 2020. In December 2019 the commercial center comprising of 115,000 SQ ft of retail with Smart and Final as the anchor was completed .
Rose Hill Courts: The redevelopment of Rose Hill Courts achieved major milestones with the completion of the CEQA process and certification of the EIR and securing entitlements for developing 185 new units and common area amenities. 
Dana Strand Phase IV: In 2019, the final two sub-phases, Camino Del Mar and Vista Del Mar of the Dana Strand Phase IV redevelopment achieved permanent conversion. 
Pueblo Del Sol: HACLA continued to make progress on the acquisition and re-syndication/rehabilitation of the 201 unit Pueblo Del Sol Phase I and the 176 unit Pueblo Del Sol Phase II. The Purchase option for both phases were exercised and HACLA purchased the Limited Partnership interests. HACLA entered into Development/Disposition Agreements with Related California on both phases. HACLA received Commitment to enter into HAP (CHAP) awards for the RAD conversion of the public housing units. 
Rancho San Pedro: The redevelopment efforts are continuing to move forward with the completion of the transformation plan. HACLA continues to work with its development partners as the finish of Stage 1 work of their ENA and prepare to start the Environmental review process."
LOS ANGELES,2019,Housing Enforcement (Inter-Agency Slum Housing Task Force),500 properties subjected to Task Force review and/or prosecution annually.,2013-2021,This is no longer an Interagency Housing Slum Housing Task Force. Substandard housing inspection is currently conducted through the SCEP and Tier 2 Inspection programs.
LOS ANGELES,2019,Billing Information Management System,Maintain Billing Information Management System.,2013-2021,"HCIDLA continues to maintain collaborative relationships with L.A. Metropolitan Transit Authority (MTA), Los Angeles World Airports (LAWA), and the Los Angeles Unified School District (LAUSD). These efforts afford HCIDLA the opportunity to collect property data from these agencies to assist in identifying properties with above-ground leases, etc. Despite these long term leasing periods for the land and/or buildings, the Agreements are fluid and enable the leases to be transferred these between operators. This requires the Department to monitor and maintain lessor information, validate and update ownership in BIMS. Note: Above-Ground leases are a relatively new business model, and this information is NOT accessible through the L.A. County Recorder's Office, since the land remains under the original ownership, e.g. MTA has an underground subway station and then leases the area above the ground to the lessee who then builds a residential rental property.

HCID entered into a new contract with First American to obtain private data regarding properties and their pertinent owners in Los Angeles. The data will be used, in conjunction with information collected internally as well as from the LA County Recorder's Office, to ensure the most updated and accurate records are utilized in daily operations."
LOS ANGELES,2019,Rent Stabilization Ordinance (RSO),"Maintain registration of 638,000 units annually; 
Protect tenants from unreasonable rent increases while 
providing landlords with a just and reasonable return; 
Maintain registration of 6,500 spaces 
in 57 mobile home parks; 
400 landlord declarations of intent to 
evict will be processed annually; 
300 tenant households will be provided 
approximately $3 million in relocation assistance 
through the HCIDLA contractor annually.",2013-2021,"HCID & RSO program continues to regulate rent increases for approximately 640,600 RSO units; provide tenant protections; regulate evictions and require tenant relocation assistance from landlords; require registration of RSO rental units; prohibit rent increases greater than 4% in FY 2019-20, based on CPI; require filings & process landlord declarations for no-fault evictions; require clearance on demolition permits for RSO units; conduct outreach and education to landlords AND TENANTS regarding RSO requirements; process landlord applications for partial cost recovery of upgrades and replacements to rental units or common areas."
LOS ANGELES,2019,Expedited Residential Recovery,"Issue entitlement approvals within four weeks of application for reconstruction, in the event of a natural disaster; Issue loans and grants within four weeks of application for reconstruction funds.",2013-2021,A small number of structures (less than 50) in the City of Los Angeles were destroyed as a result of the Saddleridge and Getty fires. LADBS prioritized these project for plan check. Fees can not be waived.
LOS ANGELES,2019,Implement CEQA Streamlining Measures,Allow for streamlined environmental review (i.e. SCEA) required for Infill and Transit Priority Projects; Assist 10 Transit Priority Projects and Infill Projects per year.,2013-2021,"In 2019 the Department of City Planning released two Technical Bulletins (TBs) for CEQA streamlining. One was a revision to the SCPE TB, and one was a new SCEA TB. Both of these instructed staff of intake requirements, review requirements, and procedures to process these streamlining documents. 

City Planning provided training to staff on both the SCPE and SCEA through the Environmental Staff Advisory Committee meetings, and updates summarizing the procedures at our geographic team meetings. 

Published SCEAs were added to the City Planning website: https://planning.lacity.org/development-services/environmental-review/scea"
LOS ANGELES,2019,Zoning and Neighborhood Implementation Tools for Mixed Use Development,"1,000 housing units in mixed use developments; Identify targets in all Community Plans; Adopt ordinances if appropriate.",2013-2021,"In 2019, 67 mixed use projects were proposed, generating 9,697 dwelling units. Of these, 1,999 are affordable. ""Mixed use"" is defined as any project that includes both residential and non-residential components."
LOS ANGELES,2019,Jobs/Housing Balance Incentives: Residential Exemptions in Transportation Specific Plans,Add fee exemption for residential units to Transportation Specific Plans that govern employment centers.,2013-2021,"The use of fee exemption is considered through each Transit Neighborhood Plan and Community Plan separately. In general fee exemptions are no longer recommended for residential units, even if the geography is an employment center. This supports the City's goal of creating jobs housing balance around transit stations."
LOS ANGELES,2019,Entitlement Case Management and Expediting for Green Building Projects,Reduce plan check process time for 50 Tier 1 and 2 projects,2013-2021,Expediting green projects is done through the regular expedite process. Case management offers service to green projects.
LOS ANGELES,2019,Encourage Energy Conservation through Pricing,"10,000 residential customers on the TOU rate",2013-2021,"The city continues to see growth in the number of time-of-use meters for LADWP electric customers. We now have over 7,100 residential TOU customers which is approaching our objective of 10,000 customers. A separate meter is sometimes required for particular rate incentives."
LOS ANGELES,2019,Sustainable Building Materials and Practices,Integrate guidelines into project review process; Develop and maintain an outreach website.,2013-2021,"LA City continues to enforce the LAGBC requirements for sustainable building materials and practices.

LADWP continues to support the The Consumer Rebate Program offers incentives for green building materials such as cool roof, insulation and Energy Star qualified Windows."
LOS ANGELES,2019,Planning for Neighborhood Character,10 updated Community Plans; Implementation tools as appropriate.,2013-2021,"During 2019 a total of 17 community plans, which include tools to preserve neighborhood character, such as design guidelines and zoning tools that better integrate context and scale. 

A revision to the Baseline Mansionization Ordinance was adopted in 2017."
LOS ANGELES,2019,Reasonable Accommodation,Train City Planning Department staff on processing Reasonable Accommodation requests; Produce and disseminate materials regarding Reasonable Accommodation process; Improve forms and outreach.,2013-2021,"There were two proposals with Reasonable Accommodation requests in 2019, generating 2 units of housing (1 single-family residence and 1 market-rate apartment)."
LOS ANGELES,2019,Housing Legal Services for Seniors,Assist 200 seniors with legal advice each year.,2013-2021,The Department of Aging provides referrals to organizations that offer legal counseling to seniors.
LOS ANGELES,2019,HOPWA Supportive Services for Persons Living with HIV/AIDS,"Provide between 4,618-6,613 clients with supportive services annually.",2013-2021,"For the period of January 1, 2019 through December 31, 2019, the HOPWA program provided supportive services to 3,922 clients via various programs."
LOS ANGELES,2019,Housing and Services Planning for Persons Living with HIV/AIDS,Regularly updated plan for the use of HOPWA grant funds.,2013-2021,In progress.
LOS ANGELES,2019,Barriers to Limited Equity Housing Cooperatives,Study barriers to the greater utilization of limited-equity cooperatives; Utilize limited equity co-ops as a tool to facilitate affordable homeownership,2013-2021,No activity in 2019.
LOS ANGELES,2019,Housing Alternatives for Seniors,"Find alternative housing solutions for 1,600 senior citizens",2013-2021,"The Purposeful Aging Los Angeles Initiative is a partnership between the city, county and non-profits including AARP that continues work to reach the goals of the Age Friendly Action Plan."
LOS ANGELES,2019,New Programs to Increase the Production of Affordable Housing,Prepare reports to Council and the Mayor that identify potential policies and programs to address the increase in funding for the production and preservation of affordable housing.,2013-2021,"Permanent Supportive Housing: Governor Newsom signed AB 1197 into law on September 26, 2019 (effective - January 1, 2020). This law establishes a CEQA exemption for specified emergency shelters and supportive housing projects approved or carried out by the City of Los Angeles until January 1, 2025. AB 1197 grants the City of Los Angeles with legal authority to implement its previously adopted Permanent Supportive Housing Ordinance, which streamlines the approval process for permanent supportive housing projects. 

Affordable Housing Linkage Fee: The City adopted its AHLF budget tier and its first Expenditure Plan for FY 19-20. The City held its first Affordable Housing Linkage Oversight Committee (AHLF OC) in the summer. The AHLF OC, and subsequently, the City Council and the Mayor approved a total of $5.3M in program allocations for tier 1 of the AHLF expenditures. The City also secured contracting services to conduct analysis of the AHLF revenue collected. 

Inclusionary Housing: The Central City West Community Plan reinstated its inclusionary requirement and the City is currently considering a citywide inclusionary ordinance focused on producing affordable housing in higher resource areas.
SB 330 Implementation: The City began implementing SB 330, which streamlines development and establish greater replacement requirements for demolished low-income housing.
Density Bonus Update: The City applied for and received a planning grant to update the City's density bonus program. 
Housing Element: The City has officially kicked off its housing element process and selected a task-force comprised of market-rate and affordable housing developers, community and tenant organizations, neighborhood leaders, and other stakeholders."
LOS ANGELES,2019,Mills Act Implementation,50 homes annually,2013-2021,11 Mills Act contracts were recorded in 2019.
LOS ANGELES,2019,Collaboration on Data Production and Collection,"Additional data from Federal, State, regional and County agencies; Homeless Count with City of Los Angeles data",2013-2021,"Beginning in Fall 2019, the Department of City Planning transitioned its Quarterly Housing Reports to the Power BI platform.The latest iteration of the Housing Progress Dashboard encompasses five years of data (2015-2019) on dwelling-unit-generating project proposals and approvals. This version of the Dashboard is interactive and available to the public, and displays dwelling unit data by geographic area as well as by targeted income categories. The Dashboard also incorporates data on specific affordable housing production incentives (TOC and Density Bonus) as well on Accessory Dwelling Units (ADUs). It will be updated quarterly going forward and is available at planning.lacity.org under Resources. 


The Homeless Count report is published on the LAHSA website."
LOS ANGELES,2019,Database for Evaluating Housing Needs,Database of current socioeconomic and demographic data on DCP website; Periodic reports of socioeconomic and demographic data.,2013-2021,LA City Planning updated its database of population and housing estimates by Community Plan Areas on the new Los Angeles City Planning website. This data is collected through the American Community Survey and adapted by City Planning staff to reflect Community Plan Area boundaries. All data is available on the Demographics Resources page here: https://planning.lacity.org/resources/demographics
LOS ANGELES,2019,Expedite Affordable Housing Projects,Reduce building permit processing time by up to 12 months; Adopt amendments to the Affordable Housing Incentives Program Guidelines to facilitate implementation of expedited processes for affordable housing development; Prioritize affordable housing projects to expedite processing of permits and any related entitlements; Assist 20 affordable housing projects per year; Reduce entitlement processing time by up to three months,2013-2021,"In 2019, the Department's Priority Housing Program (PHP) received applications for 55 cases with 5,403 total units proposed. The units are broken down by income categories as follows: 790 Market Rate; 457 Extremely Low; 648 Very Low; 3,501 Low; 7 Moderate. Time savings for PHP projects as compared non-PHP projects is as follows: 33% for City Planning Commission Cases, 37.5% of Director level cases, and 66% for Subdivision cases."
LOS ANGELES,2019,Home Energy Improvement Program,Provide free green assessments to property owners.,2013-2021,LADWP continues to support the HEIP program that is targeting low income customers but is accessible to all residential customers.
LOS ANGELES,2019,Urban Design Studio,Maintain Urban Design Studio as a division within the DCP; Maintain the Professional Volunteer Program (PVP).,2013-2021,"In 2019, the Urban Design Studio spearheaded the preparation of updated Citywide Design Guidelines, adopted by the City Planning Commission in October 2019. The Guidelines will help elevate design expectations for new housing development, and are organized around three design approaches: Pedestrian-First Design, 360 Degree Design, and Climate-Adapted Design. The Studio also continued organizing the Professional Volunteer Program, which provides design expertise from members of the American Institute of Architects (AIA) and the American Society of Landscape Architects (ASLA) in the review of larger housing projects."
LOS ANGELES,2019,Community Level Affordable Housing Programs,Playa Vista: 125 moderate-income for-sale and 83 low-income rental units in Phase 2; Cornfield Arroyo Seco: 20 very low-income and 46 low-income units; Central City West: 500 low-income units; Creation of 10 community plans with affordable housing incentives.,2013-2021,All Community Plans will utilize the new zoning code's Base/Bonus zoning system and Community Benefits Program which provides additional development rights and incentives for projects that provide affordable housing.
LOS ANGELES,2019,Emergency Shelter and Transitional Housing Facilities,"483 existing emergency shelter beds funded annually; 1,740 existing transitional housing beds funded annually.",2013-2021,"Due to COVID-19 response, LAHSA is delayed in reporting. A separate report of LAHSA programs will be sent by April 10th."
LOS ANGELES,2019,Veterans Affairs Supportive Housing (VASH),"Maintain 1,000 housing vouchers for formerly homeless Veterans.",2013-2021,"In 2018, HACLA had a total allocation of 4,615 HUD VASH Vouchers

LAHSA assists the VA along with several other partners in providing HMIS data to ensure full capture of utilization and effect of VASH vouchers in reducing veteran homelessness, including the support of incentives to encourage landlords to accept vouchers. 

LAHSA supports the dashboard tracking system which tracks performance for veteran housing services with VASH placements and performance included in that data. Increased data sharing and transparency will allow LA to better track trends and needs and overcome barriers by making systematic changes. 

LAHSA has worked with the VA to integrate VASH resources into CES, starting with project-specific pilots that match vacancies in permanent supportive housing to Veterans experiencing homelessness countywide."
LOS ANGELES,2019,Rental Assistance for Homeless Households with Disabilities,"Maintain housing for 2,400 homeless households with disabilities annually.",2013-2021,"The Housing Authority currently has 118 PSHP PBV projects online or in development, consisting of 4,911 units. The Permanent Supportive Housing (PSH) Project-Based Voucher (PBV) Program provides long-term rental subsidy contracts that facilitate development of housing for homeless and chronically individuals and families, targeting a variety of special needs populations such as seniors, families, transition-aged youth, veterans and the disabled."
LOS ANGELES,2019,Permanent Supportive Housing For Homeless Persons,"Maintain 1,477 permanent supportive housing units for homeless households annually.",2013-2021,"Due to COVID-19 response, LAHSA is delayed in reporting. A separate report of LAHSA programs will be sent by April 10th."
LOS ANGELES,2019,Biennial Homeless Count,Biennial count and survey of sheltered and unsheltered homeless persons residing in the Los Angeles CoC area.,2013-2021,"Due to COVID-19 response, LAHSA is delayed in reporting. A separate report of LAHSA programs will be sent by April 10th."
LOS ANGELES,2019,Homebuyer Financial Assistance,"During the first year, 80 loans for low-income homebuyers and 30 loans for moderate-income homebuyers; 50 loans for low-income homebuyers per year thereafter, if funding permits; Issue 80 MCCs per year: 40 for low-income and 40 for moderate-income.",2013-2021,"During the 2019 calendar year, a total of 132 loans were funded for first-time homebuyers: 103 for low-income households, and 29 for moderate-income households. Additionally, 141 MCCs were issued: 77 for low-income households, and 64 for moderate-income households."
LOS ANGELES,2019,Small Lot Subdivisions,1400 market-rate units; 100 moderate income units; Revised Small Lot Subdivision Guidelines - 2013-2014; Inter-departmental clarification memo - 2013-2014.,2013-2021,"In 2019, there were a total of 37 Small-lot cases filed, proposing 197 units of housing, none of which were restricted affordable."
LOS ANGELES,2019,Predevelopment/Acquistion Financing for the Development of Affordable Housing,Facilitate predevelopment and/or acquisition financing for approximately 500 units annually.,2013-2021,A total of 719 units were financed during this calendar year.
LOS ANGELES,2019,Systematic Code Enforcement Program (SCEP)/Gateway to Green,"Inspect 180,000 multi-family residential rental units annually for compliance with state health and safety codes and the Los Angeles Housing Code; Achieve code compliance with habitability standards within 120 days of systematic inspection; Initiate contact for complaint inspections within 72 hours of complaint receipt 80% of the time; Launch Gateway to Green Program in 2014.",2013-2021,"In CY 2019, through the Systematic Code Enforcement Program, HCID has inspected 127,073 multi-family residential rental units; achieved 98% code compliance within 120 days of inspection; and initiated contact for complaint inspections within three business days for 84% of complaints received."
LOS ANGELES,2019,Single Family Rehabilitation,"384 extremely low-, very low- and low-income units annually.",2013-2021,"In CY 2019 the Handyworker Program served 227 clients. 108 were extremely low income, 72 were very low income, 24 were low income, and 23 were moderate income."
LOS ANGELES,2019,Mobile Home Park Preservation,Assist 100 mobile park tenants; 250 market-rate mobile home park pads in residential areas preserved.,2013-2021,No activity in 2019.
LOS ANGELES,2019,SECTION 8 VOUCHERS FOR DISABLED AND ELDERLY HOUSEHOLDS,Continue to provide 375 vouchers.,2013-2021,HACLA has a total of 504 units allocated specifically for the disabled.
LOS ANGELES,2019,RSO Monitoring,"Annual report on the status of the RSO inventory; 
50 Ellis removal applications processed annually.",2013-2021,"HCIDLA continues to regulate, bill and issue exemptions as allowed under the RSO for 640,600 rental units. In 2019, 1,510 RSO Determinations were conducted on disputed properties. 1,568 Landlord Declarations of no-fault evictions were processed, a 15% increase. Through 2019, 5,646 Ellis replacement units were identified and billed; this was facilitated by Systems improvements to facilitate flagging of Ellis replacement units."
LOS ANGELES,2019,Preservation Barriers Assessment,Identify development standards that pose compliance difficulties for preservation projects; Adopt amendments to the Zoning Code to alleviate challenges,2013-2021,"In 2019, 27 UDU applications were submitted with 32 total units, including 4 VLI, 11 LI, and 17 moderate income units. 33 UDU cases were approved, with 34 total units, including: 5 market, 4 VLI, 13 LI, and 12 moderate income. 

This program was implemented in May 2017, and only units that were built or occupied between 2011 and 2015 are eligible. As such, we expect applications for the program to decline over time."
LOS ANGELES,2019,Development and Design Standards,Include development and design standards in 10 Community Plans,2013-2021,"The Community Plan update program is using the Re:Code LA update to integrate zoning designations with design standards. Of the 17 Community Plans being updated all will incorporate design standards, either through Re-Code or Community Plan Implementation Overlays (CPIOs)."
LOS ANGELES,2019,Zoning Code Revision,Adopt a brand new Zoning Code that establishes clear and predictable regulations.,2013-2021,"During 2019, the Zoning Code revision project called re:code LA continued to make progress. As part of that effort the Process and Procedures Ordinance continued through the adoption process. The Processes and Procedures Ordinance centralizes information and workflows related to administrative provisions and project review processes in a new, more user-friendly Chapter of the City's Zoning Code."
LOS ANGELES,2019,Second Unit (Granny Flat) Process,30 second units on lots annually; Identify development standards and code requirements that pose compliance difficulties to second unit process; Adopt amendments to the Zoning Code to alleviate challenges.,2013-2021,"In 2019, the City issued 4,606 ADU permits, compared to 4,171 in 2018 and 2,326 in 2017."
LOS ANGELES,2019,Update the Los Angeles Building Code,Adopt the most recent version of the CBC when released.,2013-2021,LABC has been updated and in effect.
LOS ANGELES,2019,"Education about Growth, Housing Need, MixedUse and Mixed-Income Neighborhoods",50 training sessions/workshops; 100 participating neighborhood council members and community organization members annually.,2013-2021,"City Planning's Community liaisons attend on average six Neighborhood Council Alliance meetings a month. Liaisons provide Department legislative updates, including updates on any housing policies under development. Liaisons also coordinate presentations with Department staff working on Citywide housing ordinances and neighborhood planning efforts. 

In 2019, City Planning held 8 Planning 101 trainings throughout the City. These trainings were focused planning for the environment and CEQA review. Attendees learned about the various ways the environment is protected through planning, learned about CEQA and the environmental review process that projects are required to undergo. They also learned about the various ways that individuals can become involved in these processes at the individual project and long-range policy level as we plan for the growth of the city. 

The department continues to quarterly report out on the number of housing units that have been proposed and approved by City Planning. These reports share data and insights related to efforts to produce more affordable housing. Additionally, the department is reporting out on the number of housing units that are proposed for demolition in conjunction with the proposal of new housing development."
LOS ANGELES,2019,Services in Public Housing,"50 residential clients served by educational assistance programs; 
100 residential clients served by computer training programs; 
100 youth served by recreational, educational 
and cultural programs; 
1,600 residential clients served by career assistance programs; 
Submit application for Workforce Investment 
Act Recertification for 2013 -15.",2013-2021,"Watts/LA WorkSource Center launched the HUD Jobs Plus Initiative at Nickerson Gardens with the associated Community Health Worker pilot program. LA Reconnections Academy proved to be a successful program assisting persons adversely affected by the LAPD Gang Injunction dating back to the 1980s. Our Center served 150 clients with a current $1,805,000 allocation from EWDD. Our Summer Youth Employment evolved into the year-round Youth@Work Experience Program."
LOS ANGELES,2019,Financial Incentives to Conserve Water,"Installation of high efficiency clothes washers in 5,000 households per year.",2013-2021,In 2019 LADWP continues to incentivise high efficiency clothes washers.
