JURISDICTION,COUNTY,YEAR,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,REZONE_DT,VLOW_INCOME,LOW_INCOME,MOD_INCOME,ABOVE_MOD_INCOME,SHORTFALL_DESC,PARCEL_SIZE,GEN_PLAN_DESIGNATION,ZONING,MIN_DENSITY_ALLOWED,MAX_DENSITY_ALLOWED,REALISTIC_CAPACITY,PARCEL_VACANT_NONVACANT,PARCEL_DESC
RIVERSIDE,RIVERSIDE,2018,143080032,Intersection of Hole Ave. & California Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,12,0,0,Unaccommodated Need,0.5,High Density Residential (HDR),R-3-1500,None,29 du/acre,12,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,143332002,Intersection of Hole Ave. & California Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,60,0,0,Unaccommodated Need,2.43,High Density Residential (HDR),R-3-1500,None,29 du/acre,60,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,143080024,Intersection of Hole Ave. & California Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.06,High Density Residential (HDR),R-3-1500,None,29 du/acre,0,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,147282014,Southeast of intersection of Mull Ave. & Tyler St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,13,0,0,Unaccommodated Need,0.53,High Density Residential (HDR),R-3-1500,None,29 du/acre,13,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,146220041,Southwest corner of Pierce St. & La Sierra Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,16,0,0,Unaccommodated Need,0.8,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,16,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,155290013,Northwest of the intersection of Arlington Ave. & Van Buren Blvd.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,27,0,0,Unaccommodated Need,0.79,Very High Density Residential (VHDR),R-4,None,40 du/acre,27,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,225052009,East side of Magnolia Ave. north of Merrill Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,7,0,0,Unaccommodated Need,0.22,Very High Density Residential (VHDR),R-4,None,40 du/acre,7,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,225052008,East side of Magnolia Ave. north of Merrill Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,11,0,0,Unaccommodated Need,0.33,Very High Density Residential (VHDR),R-4,None,40 du/acre,11,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,225052021,East side of Magnolia Ave. north of Merrill Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,11,0,0,Unaccommodated Need,0.33,Very High Density Residential (VHDR),R-4,None,40 du/acre,11,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,225052019,East side of Magnolia Ave. north of Merrill Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,16,0,0,Unaccommodated Need,0.47,Very High Density Residential (VHDR),R-4,None,40 du/acre,16,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,190022044,South side of Jurupa Ave. between Essex St. & Chester St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,3,0,0,Unaccommodated Need,0.15,High Density Residential (HDR),R-3-1500,None,29 du/acre,3,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,230351016,Northeast of intersection at Lincoln Ave. & Bunker St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,36,0,0,Unaccommodated Need,1.45,High Density Residential (HDR),R-3-1500,None,29 du/acre,36,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,230360004,Northeast of intersection at Lincoln Ave. & Bunker St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.18,High Density Residential (HDR),R-3-1500,None,29 du/acre,0,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,230360005,Northeast of intersection at Lincoln Ave. & Bunker St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.18,High Density Residential (HDR),R-3-1500,None,29 du/acre,0,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,230360006,Northeast of intersection at Lincoln Ave. & Bunker St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.19,High Density Residential (HDR),R-3-1500,None,29 du/acre,0,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,230360010,Northeast of intersection at Lincoln Ave. & Bunker St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.62,High Density Residential (HDR),R-3-1500,None,29 du/acre,0,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,191200017,Northeast of Intersection at Duncan Ave. & Van Buren Blvd.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.21,High Density Residential (HDR),R-3-1500,None,29 du/acre,0,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,233170003,Southeast corner of Indiana Ave. & Gibson St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,23,0,0,Unaccommodated Need,1.02,High Density Residential (HDR),R-3-1500,None,29 du/acre,23,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,233180008,Southwest of Intersection at Indiana Ave. & Jackson St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.57,High Density Residential (HDR),R-3-1500,None,29 du/acre,0,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,233180018,West of Jackson St. & south of the Railroad,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.07,High Density Residential (HDR),R-3-1500,None,29 du/acre,0,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,233180019,West of Jackson St. & south of the Railroad,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.14,High Density Residential (HDR),R-3-1500,None,29 du/acre,0,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,233160028,West of Gibson St. & adjacent to & northerly of the Van Buren Drive-In theater,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,70,0,0,Unaccommodated Need,2.01,Very High Density Residential (VHDR),R-4,None,40 du/acre,70,Vacant,Vacant land  w/ outdoor storage
RIVERSIDE,RIVERSIDE,2018,233160018,West of Gibson St. & adjacent to & northerly of the Van Buren Drive-In theater,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,5,0,0,Unaccommodated Need,0.17,Very High Density Residential (VHDR),R-4,None,40 du/acre,5,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,233160014,West of Gibson St. & adjacent to & northerly of the Van Buren Drive-In theater,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.17,Very High Density Residential (VHDR),R-4,None,40 du/acre,0,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,233160015,West of Gibson St. & adjacent to & northerly of the Van Buren Drive-In theater,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.17,Very High Density Residential (VHDR),R-4,None,40 du/acre,0,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,233160026,West of Gibson St. & adjacent to & northerly of the Van Buren Drive-In theater,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.23,Very High Density Residential (VHDR),R-4,None,40 du/acre,0,Vacant,Vacant Land
RIVERSIDE,RIVERSIDE,2018,250080009,Northwest of the intersection of Iowa Avenue and Blaine Street,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,10,0,0,Unaccommodated Need,0.51,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,10,Non-Vacant,Underutilized shopping center with vacant commercial buidling
RIVERSIDE,RIVERSIDE,2018,250080019,Northwest of the intersection of Iowa Avenue and Blaine Street,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,10,0,0,Unaccommodated Need,0.51,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,10,Non-Vacant,Underutilized shopping center with vacant commercial buidling
RIVERSIDE,RIVERSIDE,2018,250080006,Northwest of the intersection of Iowa Avenue and Blaine Street,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,17,0,0,Unaccommodated Need,0.84,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,17,Non-Vacant,Underutilized shopping center with vacant commercial buidling
RIVERSIDE,RIVERSIDE,2018,250080002,Northwest of the intersection of Iowa Avenue and Blaine Street,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,22,0,0,Unaccommodated Need,1.08,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,22,Non-Vacant,Underutilized shopping center with vacant commercial buidling
RIVERSIDE,RIVERSIDE,2018,250080007,Northwest of the intersection of Iowa Avenue and Blaine Street,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.5,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,0,Non-Vacant,Underutilized shopping center with vacant commercial buidling
RIVERSIDE,RIVERSIDE,2018,250080013,Northwest of the intersection of Iowa Avenue and Blaine Street,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.02,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,0,Non-Vacant,Underutilized shopping center with vacant commercial buidling
RIVERSIDE,RIVERSIDE,2018,250080014,Northwest of the intersection of Iowa Avenue and Blaine Street,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.36,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,0,Non-Vacant,Underutilized shopping center with vacant commercial buidling
RIVERSIDE,RIVERSIDE,2018,250080016,Northwest of the intersection of Iowa Avenue and Blaine Street,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.2,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,0,Non-Vacant,Underutilized shopping center with vacant commercial buidling
RIVERSIDE,RIVERSIDE,2018,250080017,Northwest of the intersection of Iowa Avenue and Blaine Street,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.14,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,0,Non-Vacant,Underutilized shopping center with vacant commercial buidling
RIVERSIDE,RIVERSIDE,2018,219102003,Northeast corner of Brooks St. & Olivewood Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,3,0,0,Unaccommodated Need,0.17,High Density Residential (HDR),R-3-1500,None,29 du/acre,3,Non-Vacant,Parking lot
RIVERSIDE,RIVERSIDE,2018,219102005,Northeast corner of Brooks St. & Olivewood Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,3,0,0,Unaccommodated Need,0.16,High Density Residential (HDR),R-3-1500,None,29 du/acre,3,Non-Vacant,Parking lot
RIVERSIDE,RIVERSIDE,2018,219102006,Northeast corner of Brooks St. & Olivewood Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,3,0,0,Unaccommodated Need,0.17,High Density Residential (HDR),R-3-1500,None,29 du/acre,3,Non-Vacant,Parking lot
RIVERSIDE,RIVERSIDE,2018,219102010,Northeast corner of Brooks St. & Olivewood Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,3,0,0,Unaccommodated Need,0.17,High Density Residential (HDR),R-3-1500,None,29 du/acre,3,Non-Vacant,Parking lot
RIVERSIDE,RIVERSIDE,2018,219102012,Northeast corner of Brooks St. & Olivewood Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,2,0,0,Unaccommodated Need,0.13,High Density Residential (HDR),R-3-1500,None,29 du/acre,2,Non-Vacant,Parking lot
RIVERSIDE,RIVERSIDE,2018,219102013,Northeast corner of Brooks St. & Olivewood Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,2,0,0,Unaccommodated Need,0.12,High Density Residential (HDR),R-3-1500,None,29 du/acre,2,Non-Vacant,Parking lot
RIVERSIDE,RIVERSIDE,2018,219102011,Northeast corner of Brooks St. & Olivewood Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,1,0,0,Unaccommodated Need,0.09,High Density Residential (HDR),R-3-1500,None,29 du/acre,1,Non-Vacant,Parking lot
RIVERSIDE,RIVERSIDE,2018,219102009,Northeast corner of Brooks St. & Olivewood Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,2,0,0,Unaccommodated Need,0.15,High Density Residential (HDR),R-3-1500,None,29 du/acre,2,Non-Vacant,Parking lot
RIVERSIDE,RIVERSIDE,2018,219102016,Northeast corner of Brooks St. & Olivewood Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,4,0,0,Unaccommodated Need,0.23,High Density Residential (HDR),R-3-1500,None,29 du/acre,4,Non-Vacant,Parking lot
RIVERSIDE,RIVERSIDE,2018,219102007,Northeast corner of Brooks St. & Olivewood Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,2,0,0,Unaccommodated Need,0.11,High Density Residential (HDR),R-3-1500,None,29 du/acre,2,Non-Vacant,Parking lot
RIVERSIDE,RIVERSIDE,2018,219102004,Northeast corner of Brooks St. & Olivewood Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,3,0,0,Unaccommodated Need,0.18,High Density Residential (HDR),R-3-1500,None,29 du/acre,3,Non-Vacant,Parking lot
RIVERSIDE,RIVERSIDE,2018,217050015,Southeast of the intersection of Pine Street and Tequesquite Avenue,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,38,0,0,Unaccommodated Need,1.34,Very High Density Residential (VHDR),R-4,None,40 du/acre,38,Non-Vacant,Underutilized shopping center with vacant commercial tennant space
RIVERSIDE,RIVERSIDE,2018,217100002,Southeast of the intersection of Pine Street and Tequesquite Avenue,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,29,0,0,Unaccommodated Need,1.06,Very High Density Residential (VHDR),R-4,None,40 du/acre,29,Non-Vacant,Underutilized shopping center with vacant commercial tennant space
RIVERSIDE,RIVERSIDE,2018,217040014,Southeast of the intersection of Pine Street and Tequesquite Avenue,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.29,Very High Density Residential (VHDR),R-4,None,40 du/acre,0,Non-Vacant,Underutilized shopping center with vacant commercial tennant space
RIVERSIDE,RIVERSIDE,2018,251070008,North side of Blain St. & westerly of Watkins Drive,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.5,Mixed Use-Urban (MU-U),Mixed Use-Urban (MU-U),None,40 du/acre,0,Non-Vacant,Underutilized shopping center with vacant commercial tennant space
RIVERSIDE,RIVERSIDE,2018,250190036,Northwest corner of University Ave. & Iowa Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,16,0,0,Unaccommodated Need,0.6,Mixed Use-Urban (MU-U),Mixed Use-Urban (MU-U),None,40 du/acre,16,Non-Vacant,Underutilized shopping center with vacant commercial tennant space
RIVERSIDE,RIVERSIDE,2018,250190042,Northwest corner of University Ave. & Iowa Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,63,0,0,Unaccommodated Need,2.26,Mixed Use-Urban (MU-U),Mixed Use-Urban (MU-U),None,40 du/acre,63,Non-Vacant,Underutilized shopping center with vacant commercial tennant space
RIVERSIDE,RIVERSIDE,2018,250190006,Northwest corner of University Ave. & Iowa Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.22,Mixed Use-Urban (MU-U),Mixed Use-Urban (MU-U),None,40 du/acre,0,Non-Vacant,Underutilized shopping center with vacant commercial tennant space
RIVERSIDE,RIVERSIDE,2018,250190008,Northwest corner of University Ave. & Iowa Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.54,Mixed Use-Urban (MU-U),Mixed Use-Urban (MU-U),None,40 du/acre,0,Non-Vacant,Underutilized shopping center with vacant commercial tennant space
RIVERSIDE,RIVERSIDE,2018,250190038,Northwest corner of University Ave. & Iowa Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.52,Mixed Use-Urban (MU-U),Mixed Use-Urban (MU-U),None,40 du/acre,0,Non-Vacant,Underutilized shopping center with vacant commercial tennant space
RIVERSIDE,RIVERSIDE,2018,250170005,Northwest corner of University Ave. & Cranford Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,28,0,0,Unaccommodated Need,1.03,Mixed Use-Urban (MU-U),Mixed Use-Urban (MU-U),None,40 du/acre,28,Non-Vacant,Underutilized shopping center with vacant commercial tennant space
RIVERSIDE,RIVERSIDE,2018,253050012,Southeast corner of Iowa Ave. & University Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,26,0,0,Unaccommodated Need,0.96,Mixed Use-Urban (MU-U),Mixed Use-Urban (MU-U),None,40 du/acre,26,Non-Vacant,Underutilized shopping center with vacant commercial tennant space
RIVERSIDE,RIVERSIDE,2018,253050023,Southeast corner of Iowa Ave. & University Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,27,0,0,Unaccommodated Need,0.99,Mixed Use-Urban (MU-U),Mixed Use-Urban (MU-U),None,40 du/acre,27,Non-Vacant,Underutilized shopping center with vacant commercial tennant space
RIVERSIDE,RIVERSIDE,2018,253050018,Southeast corner of Iowa Ave. & University Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.46,Mixed Use-Urban (MU-U),Mixed Use-Urban (MU-U),None,40 du/acre,0,Non-Vacant,Underutilized shopping center with vacant commercial tennant space
RIVERSIDE,RIVERSIDE,2018,253050022,Southeast corner of Iowa Ave. & University Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.51,Mixed Use-Urban (MU-U),Mixed Use-Urban (MU-U),None,40 du/acre,0,Non-Vacant,Underutilized shopping center with vacant commercial tennant space
RIVERSIDE,RIVERSIDE,2018,211111060,North side of Linden St. west of Dwight Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,22,0,0,Unaccommodated Need,0.89,High Density Residential (HDR),R-3-1500,None,29 du/acre,22,Non-Vacant,Undeveloped land and residential buildings
RIVERSIDE,RIVERSIDE,2018,143180005,North side of Magnolia Avenue westerly of Tyler Street,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.48,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,0,Non-Vacant,Underutilized commercial
RIVERSIDE,RIVERSIDE,2018,142292007,North side of Magnolia Ave. between Burge St. & Jones Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,40,0,0,Unaccommodated Need,1.94,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,40,Non-Vacant,Underutilized commercial center
RIVERSIDE,RIVERSIDE,2018,142293024,North side of Magnolia Ave. between Burge St. & Jones Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,24,0,0,Unaccommodated Need,1.15,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,24,Non-Vacant,Underutilized commercial center
RIVERSIDE,RIVERSIDE,2018,142293023,North side of Magnolia Ave. between Burge St. & Jones Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,24,0,0,Unaccommodated Need,1.15,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,24,Non-Vacant,Underutilized commercial center
RIVERSIDE,RIVERSIDE,2018,142292008,North side of Magnolia Ave. between Burge St. & Jones Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.76,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,0,Non-Vacant,Underutilized commercial center
RIVERSIDE,RIVERSIDE,2018,143290008,North side of Magnolia Ave. easterly of Polk St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,6,0,0,Unaccommodated Need,0.33,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,6,Non-Vacant,Underutilized commercial
RIVERSIDE,RIVERSIDE,2018,143290006,North side of Magnolia Ave. easterly of Polk St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,17,0,0,Unaccommodated Need,0.83,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,17,Non-Vacant,Underutilized commercial
RIVERSIDE,RIVERSIDE,2018,143290015,North side of Magnolia Ave. easterly of Polk St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,20,0,0,Unaccommodated Need,0.96,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,20,Non-Vacant,Underutilized commercial
RIVERSIDE,RIVERSIDE,2018,143290004,North side of Magnolia Ave. easterly of Polk St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,22,0,0,Unaccommodated Need,1.05,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,22,Non-Vacant,Underutilized commercial
RIVERSIDE,RIVERSIDE,2018,143290010,North side of Magnolia Ave. easterly of Polk St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.32,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,0,Non-Vacant,Underutilized commercial
RIVERSIDE,RIVERSIDE,2018,143290011,North side of Magnolia Ave. easterly of Polk St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.16,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,0,Non-Vacant,Underutilized commercial
RIVERSIDE,RIVERSIDE,2018,143290017,North side of Magnolia Ave. easterly of Polk St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.75,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,0,Non-Vacant,Underutilized commercial
RIVERSIDE,RIVERSIDE,2018,143290018,North side of Magnolia Ave. easterly of Polk St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.2,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,0,Non-Vacant,Underutilized commercial
RIVERSIDE,RIVERSIDE,2018,143290019,North side of Magnolia Ave. easterly of Polk St.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.45,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,0,Non-Vacant,Underutilized commercial
RIVERSIDE,RIVERSIDE,2018,138470029,South side of Magnolia Ave. easterly of La Sierra Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,238,0,0,Unaccommodated Need,8.53,Mixed Use-Urban (MU-U),MU-U,None,40 du/acre,238,Non-Vacant,Underutilized commercial
RIVERSIDE,RIVERSIDE,2018,138470035,South side of Magnolia Ave. easterly of La Sierra Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,99,0,0,Unaccommodated Need,3.56,Mixed Use-Urban (MU-U),MU-U,None,40 du/acre,99,Non-Vacant,Underutilized commercial
RIVERSIDE,RIVERSIDE,2018,138470023,South side of Magnolia Ave. easterly of La Sierra Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,36,0,0,Unaccommodated Need,1.31,Mixed Use-Urban (MU-U),MU-U,None,40 du/acre,36,Non-Vacant,Underutilized commercial
RIVERSIDE,RIVERSIDE,2018,146261001,Southeast of intersection of Whitford Ave. & La Sierra Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.35,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,0,Non-Vacant,Underutilized commercial
RIVERSIDE,RIVERSIDE,2018,146261006,Southeast of intersection of Whitford Ave. & La Sierra Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.23,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,0,Non-Vacant,Underutilized commercial
RIVERSIDE,RIVERSIDE,2018,146261014,Southeast of intersection of Whitford Ave. & La Sierra Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.33,Mixed Use-Village (MU-V),Mixed Use-Village (MU-V),None,30 du/acre,0,Non-Vacant,Underutilized commercial center
RIVERSIDE,RIVERSIDE,2018,143020010,Southeast of intersection at Wells Ave. and Mitchell Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,18,0,0,Unaccommodated Need,0.79,High Density Residential (HDR),R-3-1500,None,29 du/acre,18,Non-Vacant,Single-familiy dwelling
RIVERSIDE,RIVERSIDE,2018,143080022,Intersection of Hole Ave. & California Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,22,0,0,Unaccommodated Need,0.94,High Density Residential (HDR),R-3-1500,None,29 du/acre,22,Non-Vacant,Single-familiy dwelling
RIVERSIDE,RIVERSIDE,2018,143080033,Intersection of Hole Ave. & California Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,24,0,0,Unaccommodated Need,0.98,High Density Residential (HDR),R-3-1500,None,29 du/acre,24,Non-Vacant,Primarily vacant land w/ small structures
RIVERSIDE,RIVERSIDE,2018,143080021,Intersection of Hole Ave. & California Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,13,0,0,Unaccommodated Need,0.61,High Density Residential (HDR),R-3-1500,None,29 du/acre,13,Non-Vacant,Single-familiy dwelling
RIVERSIDE,RIVERSIDE,2018,143080019,Intersection of Hole Ave. & California Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.2,High Density Residential (HDR),R-3-1500,None,29 du/acre,0,Non-Vacant,Single-familiy dwelling
RIVERSIDE,RIVERSIDE,2018,143080029,Intersection of Hole Ave. & California Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.25,High Density Residential (HDR),R-3-1500,None,29 du/acre,0,Non-Vacant,Single-familiy dwelling
RIVERSIDE,RIVERSIDE,2018,143080034,Intersection of Hole Ave. & California Ave.,5th Cycle Housing Element Rezoning Program Implementation,,1/9/2018,0,0,0,0,Unaccommodated Need,0.46,High Density Residential (HDR),R-3-1500,None,29 du/acre,0,Non-Vacant,Single-familiy dwelling
